model	task	input	best_params
DecisionTree	polarity	cleaned_lemmatized_text	{'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}
SVM	polarity	cleaned_lemmatized_text	{'C': 1, 'degree': 0, 'gamma': 0.2, 'kernel': 'rbf'}
KNN	polarity	cleaned_lemmatized_text	{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 29, 'weights': 'uniform'}
DecisionTree	polarity	cleaned_text	{'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'random'}
SVM	polarity	cleaned_text	{'C': 1, 'degree': 0, 'gamma': 0.1, 'kernel': 'rbf'}
KNN	polarity	cleaned_text	{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 29, 'weights': 'distance'}
DecisionTree	polarity	cleaned_stemmed_text	{'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}
SVM	polarity	cleaned_stemmed_text	{'C': 1, 'degree': 0, 'gamma': 0.2, 'kernel': 'rbf'}
KNN	polarity	cleaned_stemmed_text	{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 27, 'weights': 'uniform'}
DecisionTree	subjectivity	cleaned_lemmatized_text	{'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}
SVM	subjectivity	cleaned_lemmatized_text	{'C': 1, 'degree': 0, 'gamma': 0.15, 'kernel': 'rbf'}
KNN	subjectivity	cleaned_lemmatized_text	{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 25, 'weights': 'distance'}
DecisionTree	subjectivity	cleaned_text	{'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}
SVM	subjectivity	cleaned_text	{'C': 1, 'degree': 0, 'gamma': 0.1, 'kernel': 'rbf'}
KNN	subjectivity	cleaned_text	{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 26, 'weights': 'distance'}
DecisionTree	subjectivity	cleaned_stemmed_text	{'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}
SVM	subjectivity	cleaned_stemmed_text	{'C': 1, 'degree': 1, 'gamma': 0.15, 'kernel': 'poly'}
KNN	subjectivity	cleaned_stemmed_text	{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 25, 'weights': 'distance'}
